"""TOA5"",""SVRI_AB"",""CR1000"",""56897"",""CR1000.Std.29"",""CPU:SVRI_2018_AB.CR1"",""47300"",""Load_Cell_60min_AB"""
"""TIMESTAMP"",""RECORD"",""load_cell_A"",""load_cell_B"""
"""TS"",""RN"","""","""""
""""","""",""Smp"",""Smp"""
"""2018-06-23 01:00:00"",229,1331,1337"
"""2018-06-23 02:00:00"",230,1332,1337"
"""2018-06-23 03:00:00"",231,1331,1337"
"""2018-06-23 04:00:00"",232,1330,1336"
"""2018-06-23 05:00:00"",233,1330,1336"
"""2018-06-23 06:00:00"",234,1330,1336"
"""2018-06-23 07:00:00"",235,1330,1335"
"""2018-06-23 08:00:00"",236,1328,1334"
"""2018-06-23 09:00:00"",237,1326,1333"
"""2018-06-23 10:00:00"",238,1325,1332"
"""2018-06-23 11:00:00"",239,1325,1330"
"""2018-06-23 12:00:00"",240,1324,1329"
"""2018-06-23 13:00:00"",241,1323,1328"
"""2018-06-23 14:00:00"",242,1323,1328"
"""2018-06-23 15:00:00"",243,1322,1328"
"""2018-06-23 16:00:00"",244,1322,1327"
"""2018-06-23 17:00:00"",245,1322,1327"
"""2018-06-23 18:00:00"",246,1321,1327"
"""2018-06-23 19:00:00"",247,1322,1328"
"""2018-06-23 20:00:00"",248,1322,1329"
"""2018-06-23 21:00:00"",249,1326,1332"
"""2018-06-23 22:00:00"",250,1328,1334"
"""2018-06-23 23:00:00"",251,1329,1335"
"""2018-06-24 00:00:00"",252,1330,1336"
"""2018-06-24 01:00:00"",253,1331,1337"
"""2018-06-24 02:00:00"",254,1329,1335"
"""2018-06-24 03:00:00"",255,1329,1335"
"""2018-06-24 04:00:00"",256,1330,1336"
"""2018-06-24 05:00:00"",257,1330,1336"
"""2018-06-24 06:00:00"",258,1332,1338"
"""2018-06-24 07:00:00"",259,1332,1338"
"""2018-06-24 08:00:00"",260,1330,1336"
"""2018-06-24 09:00:00"",261,1327,1333"
"""2018-06-24 10:00:00"",262,1325,1331"
"""2018-06-24 11:00:00"",263,1324,1329"
"""2018-06-24 12:00:00"",264,1323,1328"
"""2018-06-24 13:00:00"",265,1323,1328"
"""2018-06-24 14:00:00"",266,1322,1328"
"""2018-06-24 15:00:00"",267,1322,1327"
"""2018-06-24 16:00:00"",268,1322,1328"
"""2018-06-24 17:00:00"",269,1323,1328"
"""2018-06-24 18:00:00"",270,1325,1330"
"""2018-06-24 19:00:00"",271,1326,1332"
"""2018-06-24 20:00:00"",272,1329,1334"
"""2018-06-24 21:00:00"",273,1330,1336"
"""2018-06-24 22:00:00"",274,1331,1338"
"""2018-06-24 23:00:00"",275,1332,1338"
"""2018-06-25 00:00:00"",276,1333,1339"
"""2018-06-25 01:00:00"",277,1333,1339"
"""2018-06-25 02:00:00"",278,1334,1339"
"""2018-06-25 03:00:00"",279,1334,1340"
"""2018-06-25 04:00:00"",280,1334,1340"
"""2018-06-25 05:00:00"",281,1335,1340"
"""2018-06-25 06:00:00"",282,1335,1341"
"""2018-06-25 07:00:00"",283,1334,1341"
"""2018-06-25 08:00:00"",284,1333,1339"
"""2018-06-25 09:00:00"",285,1331,1337"
"""2018-06-25 10:00:00"",286,1329,1334"
"""2018-06-25 11:00:00"",287,1327,1333"
"""2018-06-25 12:00:00"",288,1327,1332"
"""2018-06-25 13:00:00"",289,1326,1332"
"""2018-06-25 14:00:00"",290,1325,1331"
"""2018-06-25 15:00:00"",291,1325,1330"
"""2018-06-25 16:00:00"",292,1324,1329"
"""2018-06-25 17:00:00"",293,1324,1329"
"""2018-06-25 18:00:00"",294,1325,1330"
"""2018-06-25 19:00:00"",295,1325,1331"
"""2018-06-25 20:00:00"",296,1327,1334"
"""2018-06-25 21:00:00"",297,1330,1336"
"""2018-06-25 22:00:00"",298,1332,1338"
"""2018-06-25 23:00:00"",299,1333,1339"
"""2018-06-26 00:00:00"",300,1333,1339"
"""2018-06-26 01:00:00"",301,1334,1340"
"""2018-06-26 02:00:00"",302,1334,1340"
"""2018-06-26 03:00:00"",303,1334,1341"
"""2018-06-26 04:00:00"",304,1335,1341"
"""2018-06-26 05:00:00"",305,1335,1341"
"""2018-06-26 06:00:00"",306,1335,1341"
"""2018-06-26 07:00:00"",307,1334,1341"
"""2018-06-26 08:00:00"",308,1333,1339"
"""2018-06-26 09:00:00"",309,1330,1336"
